date,gold_price,gold_ret,sp500_price,usd_price,rates_price,sp500_ret,usd_ret,rate_ret,sp500_mom_20,usd_mom_20,rate_mom_20,sp500_vol_20,usd_vol_20,gold_vs_sp500,gold_vs_usd,target
2018-06-04,122.37000274658205,-0.0009796319640802409,2746.8701171875,94.0199966430664,2.937000036239624,0.004479598435997323,-0.0018049240251968302,0.014507791222737376,0.03133197083460737,0.015663789057171806,-0.00237770702065776,0.006423545819357158,0.003505354270388268,-0.005459230400077564,0.0008252920611165893,-0.03039961704019034
2018-06-05,122.8499984741211,0.003922495029546447,2748.800048828125,93.88999938964844,2.9189999103546143,0.0007025929724704394,-0.0013826553718299106,-0.006128745544060732,0.02850008020394812,0.012291098540683887,-0.010508520958649625,0.006410306408905383,0.003526231806057417,0.0032199020570760073,0.005305150401376357,-0.030931994054226863
2018-06-06,122.91999816894533,0.0005697980927446,2772.35009765625,93.66000366210938,2.9749999046325684,0.008567392465728796,-0.0024496296627350977,0.01918465090708099,0.03758727009706697,0.00579897873281765,0.0020208162138120045,0.006589437778659233,0.003495936022492086,-0.007997594372984196,0.0030194277554796978,-0.033029593386533995
2018-06-07,122.86000061035156,-0.00048810250152542256,2770.3701171875,93.4000015258789,2.933000087738037,-0.0007141884679080501,-0.0027760209915052014,-0.01411758596332413,0.026903531065828323,0.0038693100473894404,-0.023635107183994752,0.006346063874781056,0.0035550192116533628,0.00022608596638262757,0.002287918489979779,-0.030196964561630235
2018-06-08,123.01000213623048,0.0012209142530825723,2779.030029296875,93.55000305175781,2.937000036239624,0.0031259043893263616,0.00160601202814048,0.0013637737408564998,0.020550319871576184,0.009713993643351682,-0.01144393146866085,0.006078515365708324,0.003411622488790554,-0.0019049901362437893,-0.00038509777505790765,-0.0331680494285026
2018-06-11,123.2300033569336,0.0017884823744613865,2782.0,93.58000183105469,2.9570000171661377,0.001068707668436586,0.00032067106700450765,0.006809663152786527,0.019899414118701886,0.011238393183901962,-0.004712197634319515,0.006076473894998379,0.003389216309226117,0.0007197747060248005,0.0014678113074568788,-0.04536236155973972
2018-06-12,122.81999969482422,-0.0033271415316106223,2786.85009765625,93.80000305175781,2.9570000171661377,0.0017433852107295866,0.0023509426843173475,0.0,0.020775647049186663,0.013068438942922977,-0.012687769564255214,0.0060786240197546965,0.0034126405764647325,-0.005070526742340209,-0.00567808421592797,-0.03818598317097954
2018-06-13,123.19000244140624,0.003012561044629436,2775.6298828125,93.70999908447266,2.9769999980926514,-0.004026127868587581,-0.0009595305368539364,0.006763605279137108,0.023669967285542937,0.005256359765641205,-0.03344153511843828,0.005916746234779523,0.0031039431639197416,0.007038688913217017,0.003972091581483372,-0.045295898372181065
2018-06-14,123.37999725341795,0.0015422908372948463,2782.489990234375,94.7699966430664,2.946000099182129,0.002471549778432225,0.011311466961366978,-0.010413133668251251,0.02204992182004517,0.014776713378701789,-0.048142141534973426,0.005886721443500204,0.003961099945806465,-0.0009292589411373786,-0.009769176124072132,-0.047252345043302
2018-06-15,121.33999633789062,-0.01653429211330948,2779.659912109375,94.79000091552734,2.9240000247955322,-0.001017102715529128,0.00021108233797106912,-0.007467777883885418,0.021884995151526976,0.014122174789614084,-0.05950464609487771,0.005889661413391875,0.0039627390587841415,-0.015517189397780351,-0.016745374451280548,-0.04170098657744625
